CustomerID,SeniorCitizen,Tenure,MonthlyCharges,TotalCharges,Gender_Female,Gender_Male,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer,PaymentMethod_Credit card,PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn_No,Churn_Yes
87,1,49,68.3,2181.86,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,True
88,0,42,108.68,6846.16,False,True,False,True,False,True,True,False,False,False,False,True,False,False,True,False,True,False
89,1,66,57.83,274.44,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True
90,0,11,94.97,627.28,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True
91,1,66,29.68,2205.84,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False
92,1,26,67.61,1614.99,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,True
93,1,53,119.17,1870.24,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False
94,1,65,97.04,6387.59,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True
95,0,48,41.05,4513.75,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
96,0,15,70.14,66.05,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,True,False
97,1,1,43.36,3446.0,True,False,False,True,True,False,False,True,False,True,False,False,False,False,False,True,True,False
98,1,59,60.96,3274.92,True,False,True,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False
99,1,53,98.01,929.28,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True
100,0,29,97.12,5415.61,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False
101,0,37,42.81,5622.74,False,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False
102,0,27,112.22,5772.73,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True
103,0,24,79.26,5833.2,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True
104,1,9,57.99,20.42,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
105,1,59,70.19,7632.29,True,False,False,True,True,False,False,False,True,False,False,True,True,False,False,False,True,False
106,1,41,80.51,6517.39,True,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True
107,0,39,75.99,7233.77,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True
108,0,41,68.64,144.83,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False
109,0,46,70.49,7472.19,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True
110,1,36,37.64,6482.11,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True
111,1,21,101.27,6701.01,True,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False
112,0,56,74.18,764.43,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True
113,1,26,33.11,5915.45,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False
114,0,40,96.62,7680.14,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False
115,0,33,113.24,5434.81,False,True,True,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False
116,1,31,114.73,4573.08,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False
117,0,65,56.9,7566.12,False,True,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True,False
118,1,11,33.55,3554.64,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True
119,0,39,71.84,4802.36,True,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False
120,1,9,31.26,3821.18,False,True,True,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False
121,1,47,113.4,7464.11,True,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False
122,1,19,38.36,627.16,False,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False
123,0,38,45.28,4018.94,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True
124,0,59,60.66,5501.88,False,True,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True
125,1,65,58.32,6339.41,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True
126,1,64,99.47,4672.49,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False
127,0,50,65.63,7273.16,True,False,True,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True
128,0,35,37.08,7537.09,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,True
129,0,23,46.72,533.27,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False
130,1,26,70.91,3230.92,True,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False
131,0,1,34.75,207.2,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,True
132,0,30,81.17,2648.74,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True
133,1,56,76.57,4304.21,False,True,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True
134,0,65,91.47,7288.14,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True
135,0,28,113.77,6775.5,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False
136,0,14,111.23,1037.45,False,True,False,True,True,False,True,False,False,True,False,False,True,False,False,False,True,False
137,1,11,114.61,762.38,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False
138,1,27,44.47,4722.35,False,True,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False
139,1,23,33.16,4266.3,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,False
140,1,20,50.23,2145.69,False,True,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True
141,1,9,109.51,7197.64,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False
142,1,17,117.21,7420.38,False,True,True,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False
143,1,13,105.93,3232.84,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True
144,0,33,31.0,7124.61,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,True,False
145,0,57,114.74,3083.91,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True
146,1,21,62.34,5899.8,False,True,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False
147,0,69,20.93,3818.02,False,True,False,True,True,False,False,False,True,False,False,True,False,False,False,True,True,False
148,0,35,64.24,998.21,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False
149,1,44,24.61,7424.91,False,True,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True
150,0,35,74.39,3643.69,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False
151,0,21,53.86,5881.21,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True
152,0,60,67.34,2950.05,False,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
153,0,55,81.32,170.67,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False
154,0,32,106.88,822.23,False,True,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,True
155,1,44,86.19,3979.83,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,True,False,True
156,1,35,63.4,5525.92,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False
157,1,19,101.94,2691.19,False,True,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True
158,0,17,110.56,5570.0,True,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False
159,1,37,31.98,5595.11,False,True,True,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False
160,0,66,73.19,5637.41,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,True
161,0,22,48.45,3950.32,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,True
162,0,15,24.71,7320.79,False,True,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True
163,0,58,86.85,3923.79,True,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False
164,1,68,106.28,3613.12,True,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True
165,1,67,36.29,1611.06,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,True,False
166,0,20,101.24,2475.09,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,True
167,1,69,105.34,357.83,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True
168,0,11,111.43,5075.61,False,True,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True
169,1,15,46.53,2003.32,False,True,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True
170,1,13,110.4,2447.16,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True
171,0,60,52.07,6171.1,True,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False
172,1,70,75.23,2631.23,False,True,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False,True
173,0,45,25.05,1952.72,False,True,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True
174,1,31,24.39,1369.08,True,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False
175,0,14,92.04,6203.37,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False
176,0,43,64.45,1055.06,True,False,False,True,False,True,True,False,False,False,False,True,False,False,True,False,True,False
177,1,16,45.63,3640.96,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,True,True,False
178,1,40,39.04,4065.3,False,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True
179,0,53,87.0,5505.37,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True
180,1,43,20.04,5073.6,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True,False
181,1,4,100.59,6489.55,False,True,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,True
182,0,26,27.92,377.12,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False
183,0,42,39.15,2385.6,True,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,True,False
184,1,30,58.62,2255.47,False,True,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,True
185,0,16,68.49,1185.21,False,True,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
186,0,53,55.5,2327.64,False,True,True,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False
187,0,61,52.07,2491.93,True,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True
188,1,31,116.39,4184.64,False,True,True,False,True,False,True,False,False,False,False,True,True,False,False,False,True,False
189,1,39,84.16,5316.36,False,True,True,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False
190,0,12,22.34,3061.18,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False
191,1,34,63.02,5761.37,False,True,True,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False
192,0,4,107.5,2702.6,False,True,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,True
193,1,28,50.15,2336.46,False,True,True,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False
194,0,69,29.46,4338.68,False,True,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True,False
195,0,24,95.84,209.26,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False
196,1,21,80.6,656.72,True,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True
197,0,65,77.03,3355.4,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,True,False
198,1,44,25.36,7544.44,True,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,True,False
199,1,68,34.05,5777.66,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True
200,0,71,82.25,723.25,False,True,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,False
201,0,0,40.78,6773.62,False,True,True,False,False,True,False,False,True,False,True,False,False,False,False,True,True,False
202,1,43,70.41,5863.76,True,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
203,0,38,74.49,4895.35,False,True,True,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False
204,0,53,48.35,6565.94,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True
205,0,28,114.84,3244.8,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True
206,0,53,104.25,1787.58,False,True,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True
207,0,15,92.24,4105.95,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
208,1,19,27.8,4399.76,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True
209,1,45,30.61,4315.84,True,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True
210,0,66,69.28,4529.29,False,True,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
211,0,64,36.07,7590.67,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True
212,0,57,117.83,7219.92,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True
213,1,52,35.85,7008.22,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True
214,0,0,68.75,6415.31,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,True,False
215,1,65,56.41,7548.56,False,True,False,True,True,False,False,False,True,False,False,True,False,True,False,False,True,False
216,1,28,83.94,805.99,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,True
217,1,69,32.9,2135.68,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True
218,0,7,63.03,3970.55,False,True,False,True,True,False,False,True,False,False,False,True,True,False,False,False,True,False
219,1,28,47.47,6775.35,True,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False
220,0,50,108.78,4051.22,False,True,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False
221,1,32,24.06,5989.32,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False
222,0,2,111.37,1128.9,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True
223,1,59,103.3,2034.26,True,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,True,False
224,0,34,49.76,5859.57,True,False,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,True
225,1,68,98.93,1334.58,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False
226,0,19,23.12,2823.82,True,False,True,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False
227,0,38,116.69,2133.63,False,True,False,True,True,False,False,True,False,False,False,True,True,False,False,False,True,False
228,0,3,72.66,2811.9,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False
229,0,18,50.33,5672.43,False,True,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True
230,1,44,56.26,2955.42,False,True,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
231,1,42,26.64,4451.0,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,True
232,0,12,118.93,817.46,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,True,False
233,1,12,23.93,6444.04,True,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True
234,0,59,85.49,2971.71,True,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False
235,0,56,64.27,5195.3,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False
236,1,51,114.89,5808.61,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True
237,0,52,44.6,1693.09,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False
238,0,42,73.21,7079.71,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False
239,1,71,68.24,4937.47,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True
240,0,71,90.29,3441.23,True,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,True,False
241,0,41,26.8,1475.03,True,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False
242,0,25,39.38,7539.56,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,True
243,0,22,41.46,6045.44,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True
244,1,42,93.82,1680.04,False,True,False,True,True,False,False,True,False,False,False,True,False,False,True,False,True,False
245,1,27,38.91,2714.93,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True
246,1,8,77.35,6481.2,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False
247,0,19,41.52,5571.51,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True
248,0,55,106.16,6130.96,False,True,False,True,True,False,True,False,False,False,True,False,False,True,False,False,True,False
249,1,38,114.22,3540.78,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,True
250,0,50,71.85,5737.48,False,True,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,True
251,0,11,55.23,3104.22,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,False
252,0,54,43.41,1705.88,False,True,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True
253,0,10,24.98,5068.76,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True
254,1,25,46.85,7808.59,False,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False
255,1,41,85.42,2498.6,False,True,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True
256,1,26,73.36,3698.54,False,True,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True
257,0,10,114.4,5398.53,False,True,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True
258,1,37,59.63,4341.22,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False
259,1,42,89.39,6750.55,True,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,True
260,0,18,68.93,6098.71,False,True,False,True,True,False,True,False,False,True,False,False,False,True,False,False,True,False
261,0,63,71.26,485.21,False,True,False,True,True,False,False,False,True,True,False,False,False,False,True,False,True,False
262,1,5,46.78,7987.4,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True
263,1,45,65.5,6024.17,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,False,True,False
264,1,41,67.08,6913.95,False,True,False,True,True,False,False,True,False,True,False,False,False,False,True,False,True,False
265,1,64,90.66,5216.56,False,True,False,True,False,True,True,False,False,False,True,False,False,False,False,True,True,False
266,0,71,114.06,6853.16,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,True,False
267,1,58,52.93,916.82,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True
